диагноз,клиническая картина,симптомы
Артикулярные заболевания (артрит),Собака старше 7 лет начала хромать на правую заднюю лапу. При пальпации сустава отмечается боль и отек. Рентгенограмма показала изменения костной ткани и суставные выпоты. Лабораторные исследования крови выявили увеличение количества лейкоцитов и СОЭ.,"симптомы:боль в правой задней лапе,отечность сустава при пальпации,изменения костной ткани на рентгенограмме,суставные выпоты,увеличение количества лейкоцитов и СОЭ в крови."
Артикулярные заболевания (артрит),"Собака, 5 лет, неактивная на последних двух неделях. Отмечается хромота на правую заднюю лапу. В области сустава наблюдается припухлость и местное повышение температуры. При пальпации отмечается болезненность и ограниченная подвижность сустава. Собака испытывает трудности при вставании и передвижении, предпочитает лежать с вытянутой лапой. Рентгенограмма показывает изменения в структуре кости и хряща сустава.","Симтомы: боль в правой задней лапе, хромота на правую заднюю лапу, припухлость в области сустава, местное повышение температуры, болезненность и ограниченная подвижность сустава, трудности при вставании и передвижении."
Артикулярные заболевания (артрит),"Собака по кличке Марли в последнее время начала хромать на заднюю лапу и проявляет нежелание двигаться. При пальпации суставов отмечается припухлость коленного сустава, а также болезненность при движениях. Взволнованный владелец замечает, что его питомец начал меньше есть из-за боли в шее, где наблюдается увеличение лимфоузлов и трудности при глотании.","Симптомы: хромота на заднюю лапу, отказ от движения, боль в коленном суставе, увеличение лимфоузлов в области шеи, трудности при глотании, потеря аппетита из-за боли в шее"
Пиометра,"Животное, страдающее пиометрой, демонстрирует признаки недомогания и апатичности, отказывается от корма и воды. Из влагалища могут появляться выделения с неприятным запахом. Животное испытывает дискомфорт при пальпации живота в области матки и может проявлять агрессию или беспокойство во время осмотра. В некоторых случаях возможно повышение температуры тела, вплоть до лихорадки. При отсутствии лечения состояние животного ухудшается, возможны сопутствующие инфекции и сепсис.","симптомы:отказ от корма и воды,апатия,дискомфорт при пальпации живота в области матки,беспокойство или агрессия во время осмотра,выделения из влагалища с неприятным запахом,возможное повышение температуры тела до лихорадки."
Пиометра,"Собака старше 5 лет, владельцы отмечают постоянную вялость и повышенную температуру тела. При пальпации живота выявляется болезненность в области таза. Из половых органов наблюдаются гнойные выделения.","Симптомы: повышенная температура тела, вялость, болезненность в области таза, гнойные выделения из половых органов."
Пиометра,"Самаяя крупная свиноматка из группы стала вдруг отказываться от еды и пить много воды. Она стала часто вылизываться и у нее появился неприятный запах из влагалища. При осмотре ветеринар обнаружил гнойные выделения из половых путей, что может указывать на воспаление матки.","Симптомы: анорексия (отказ от еды), полидипсия (сильное потребление воды), половая возбудимость (частое облизывание гениталий), неприятный запах из влагалища, гнойные выделения из половых путей."
Пиометра,"У собаки наблюдается повышенная температура тела, вялость, снижение аппетита. Во время пальпации влагалища обнаружены гнойные выделения с неприятным запахом. При ультразвуковом обследовании выявлена толстостенная полость в малом тазу, заполненная жидкостью. Животное отказывается от еды и питья, возможно развитие сепсиса без своевременного лечения.","Симптомы: повышенная температура тела, вялость, снижение аппетита, гнойные выделения из влагалища с неприятным запахом, толстостенная полость в малом тазу заполненная жидкостью, отказ от еды и питья."
Пиометра,"Корова поступила в ветеринарную клинику с повышением температуры тела до 41°C и снижением аппетита. При пальпации выявилось наличие абсцесса в области влагалища, сопровождающееся гнойными выделениями из половых путей.","Симптомы: повышение температуры тела до 41°C, снижение аппетита, абсцесс в области влагалища, гнойные выделения из половых путей."
Пиометра,"У коровы повышенная температура тела, снижение аппетита, вялость, выделения из влагалища с неприятным запахом. При пальпации обнаружены уплотнения в области матки.","Симптомы: повышенная температура тела, снижение аппетита, вялость, гнойные выделения из влагалища, неприятный запах из влагалища, уплотнения в области матки"
Пиометра,"Самка крупного рогатого скота вялая, температура тела повышена. Из влагалища вытекает гнойный экссудат с неприятным запахом. Аппетит отсутствует, дыхание затруднено, отмечаются длительные поносы и цианоз слизистых оболочек. Животное испытывает беспокойство, затем угнетение и нарушение координации движений.","Симптомы: повышенная температура тела, гнойный экссудат из влагалища с неприятным запахом, отсутствие аппетита, затрудненное дыхание, длительные поносы, цианоз слизистых оболочек, беспокойство и угнетение состояния, нарушение координации движений."
Пиометра,"Самка крупного рогатого скота на 7-м месяце беременности в течение двух недель испытывает общую слабость и аппетит, наблюдается повышение температуры тела до 41°C. Наружу выходит кровянистый секрет из влагалища, который имеет неприятный запах. Животное проявляет признаки дискомфорта при пальпации живота в области таза и половых органов, отмечается увеличение размеров матки и болезненность при palpation. В данном случае речь идет о гнойном воспалении матки, или пиометре.","Симптомы: общая слабость, повышение температуры тела до 41°C, кровянистый секрет из влагалища с неприятным запахом, дискомфорт при пальпации живота в области таза и половых органов, увеличение размеров матки, болезненность при palpation."
Пиометра,"Лапки у свиньи грязные, пахнет гнилью. Живот увеличен, опущен. Гуляет температура тела 40-42°C. Аппетит снижен или отсутствует совсем. Влагалище выделяет желтый гнойный секрет с неприятным запахом.","симптомы:грязные лапки,запах гнили,увеличенное и опущенное живот,высокая температура тела (40-42°C),сниженный или отсутствующий аппетит,желтые гнойные выделения из влагалища с неприятным запахом"
Пиометра,"Клиническая картина: Свиноматка с вялостью, отсутствием аппетита, матовым оттенком кожного покрова. Пневмония прослушивается при аускультации, температура тела слегка повышена, наблюдается лейкоцитоз и лимфоцитоз в крови.","Симптомы: вялость, отсутствие аппетита, матовый оттенок кожного покрова, пневмония (по звуку), гипертермия (слабо повышенная температура тела), лейкоцитоз и лимфоцитоз в крови."
Аллергические реакции,"Овца начала часто чесаться и чихать после переезда на новую ферму. У нее появились покраснения на коже и она стала чаще тереться о предметы, пытаясь облегчить зуд. Ветврач диагностировал аллергическую реакцию, вероятно вызванную новым кормом или средой обитания. Овце назначили антигистаминные препараты и рекомендовали тщательно следить за гигиеной на ферме для профилактики подобных реакций в будущем.","Симптомы: частое чесание, чихание, покраснение кожи, зуд"
Аллергические реакции,"Корова после приема пищи начала чесаться, появились сыпь и отеки на коже шеи и морды. Дыхание стало частым и шумным, температура тела повысилась. В течение часа состояние ухудшилось, появился кашель и затрудненное дыхание. Немедленно исключили подозрительные корма из рациона.","Симптомы: зуд кожи шеи и морды, сыпь и отеки на коже шеи и морды, одышка, кашель, затрудненное дыхание, повышенная температура тела"
Аллергические реакции,"Лошадь страдает воспалением кожных покровов, сопровождающимся зудом и выпадением шерсти. Несмотря на обильное питание, потеря веса очевидна. Врач-ветеринар обнаруживает повышенную чувствительность к некоторым антибиотикам при проведении аллергопроб.","Симптомы: воспаление кожных покровов, зуд, выпадение шерсти, потеря веса, повышенная чувствительность к некоторым антибиотам."
Аллергические реакции,"У молодого свиньи 4 месяца Observe приступ сильного кашля, который усиливается и учащается. Температура тела слегка повышается до 40,8°C, затем падает ниже нормы за несколько дней до смерти. Животное становится вялым, теряет аппетит и упитанность, кожа приобретает матовый оттенок. При аускультации прослушиваются влажные хрипы, которые становятся сухими и громкими по мере развития болезни. Сердечный ритм увеличивается до 216 ударов в минуту во время обострения. Свинья имеет лейкоцитоз, лимфоцитоз и эозинофилию в крови. Через несколько дней после начала заболевания свинья погибает от катаральной пневмонии с геморрагическим компонентом.","Симптомы: сильный кашель, повышение температуры тела до 40,8°C с последующим снижением ниже нормы, вялость, потеря аппетита и упитанности, матовый оттенок кожи, влажные хрипы при аускультации (ставшие сухими и громкими по мере развития болезни), учащенный сердечный ритм до 216 ударов в минуту во время обострения, лейкоцитоз, лимфоцитоз и эозинофилия в крови."
Аллергические реакции,"Клиническая картина: Овца с приступом чиханья и слезоточением, после поедания концентрированного корма в загоне с плохими условиями содержания. На коже заметны покраснения и высыпания, копытца грязные и плохо расчищенные. Животное находится в апатичном состоянии, аппетит снижен.","Симптомы: чиханье, слезоточение, кожный зуд и сыпь"
Аллергические реакции,"Корова стала беспокоиться, затем угнетение, нарушение координации движений, слезотечение. Частая дефекация, затруднённое дыхание, цианоз, асфиксия. Отказ от корма, бледность слизистых оболочек, длительные поносы.","Симптомы: беспокойство, угнетение, нарушение координации движений, слезотечение, частая дефекация, затруднённое дыхание, цианоз, асфиксия, отказ от корма, бледность слизистых оболочек, длительные поносы."
Аллергические реакции,"Клиническая картина: У коровы, содержащейся на откорме с преобладанием травяных кормов и добавлением мочевины и минеральных солей, внезапно появился кашель, который стал учащаться и усиливаться. При прослушивании отмечаются влажные хрипы в легких, которые позже становятся сухими и громкими. Частота сердечных сокращений повысилась до 216 ударов в минуту. Корова стала вялой, потеряла аппетит, кожа приобрела матовый оттенок. При лабораторном исследовании крови выявлен лейкоцитоз, лимфоцитоз и эозинофилия.","Симптомы: кашель, влажные хрипы в легких, сухие громкие хрипы, тахикардия (частота сердечных сокращений 216 ударов в минуту), вялость, потеря аппетита, матовый оттенок кожи, лейкоцитоз, лимфоцитоз и эозинофилия."
Аллергические реакции,"Клиническая картина: У собаки внезапное появление зуда, покраснения кожи и припухлости вокруг глаз. Приблизительно через час после контакта с травой в парке начались чиханье и отек носа. В течение следующих двух часов симптомы усугубились, появилась рвота и диарея. Животное стало вялым и апатичным.","Симптомы: внезапный зуд, покраснение кожи, припухлость вокруг глаз, чиханье, отек носа, рвота, диарея, вялость, апатия."
Аллергические реакции,"Корова, обработанная препаратом от клещей, проявляет признаки аллергии: беспокойство, зуд, слезотечение. Через несколько часов появляются отечность лица и шеи, затрудненное дыхание и учащенный пульс. Животное теряет аппетит, у него отмечаются жидкий стул и вялость.","Симптомы: беспокойство, зуд, слезотечение, отечность лица и шеи, затрудненное дыхание, учащенный пульс, потеря аппетита, жидкий стул, вялость."
Аллергические реакции,"Животное начинает чесаться, появляются красные пятна на коже. При осмотре обнаруживаются небольшие язвочки и припухлости на теле. Животное отказывается от корма, но выпивает много воды. Из носа текут прозрачные жидкие сопли, из глаз - слезы. Температура тела повышена.","Симптомы: чесотка, красные пятна на коже, язвочки и припухлости на теле, отказ от корма, полидипсия, прозрачные жидкие сопли из носа, слезы из глаз, гипертермия."
Панкреатит,"Свинья отказывается от корма, лежит в лежачем положении, живот вздут, температура тела повышена. При пальпации живота наблюдается болезненность в области желудка и кишечника. Аппетит отсутствует, стул жидкий с неприятным запахом. Животное отказывается пить воду, что указывает на сильную боль.","Симптомы: отказ от корма, лежание в лежачем положении, вздутие живота, повышенная температура тела, болезненность в области желудка и кишечника при пальпации, отсутствие аппетита, жидкий стул с неприятным запахом, отказ от воды."
Панкреатит,"Собака отказывается от еды, худеет, имеет желтушный оттенок склер и кожных покровов. Живот увеличен, пальпация вызывает болезненность. Рвота с примесью желчи и кала. Аппетит отсутствует, температура тела повышена.","Симптомы: отказ от еды, похудение, желтушный оттенок склер и кожных покровов, увеличение живота, болезненность при пальпации живота, рвота с примесью желчи и кала, повышенная температура тела."
Панкреатит,"У коровы наблюдается вялость и снижение аппетита. Животное проявляет беспокойство при движении, испытывает трудности с глотанием и имеет вздутый живот. Резь в животе вызывает частую дефекацию и потерю веса. Наблюдается желтушность слизистых оболочек глаз и повышенное слюноотделение.","симптомы:вялость,снижение аппетита,беспокойство при движении,трудности с глотанием,вздутый живот,резь в животе,частая дефекация,потеря веса,желтушность слизистых оболочек глаз,повышенное слюноотделение"
Панкреатит,"Пациент: взрослый кобель собаки. Резкая боль в животе, плохой аппетит, рвота желчью, диарея с примесью крови, обезвоживание, учащенное дыхание и сердцебиение, слабость.","Симптомы: резкая боль в животе, плохой аппетит, рвота желчью, диарея с примесью крови, обезвоживание, учащенное дыхание и сердцебиение, слабость."
Панкреатит,"У собаки внезапно появились рвота и диарея, животное начало тяжело дышать, появилась желтушность склер и слизистых оболочек. В области живота пальпируется твердый болезненный отек, температура тела повышена.","Симтомы: рвота, диарея, одышка, желтушность склер и слизистых оболочек, твердый болезненный отек в области живота, гипертермия"
Панкреатит,"Собака отказывается от еды и воды на протяжении трех дней. Рвота желчью после каждого кормления, болезненный живот при пальпации. Животное апатичное, температура bodies повышена, пульс учащен.","симптомы:отказ от еды и воды, рвота желчью после каждого кормления, болезненность живота при пальпации, апатия, гипертермия, тахикардия"
Панкреатит,"У кошки внезапно появились боли в животе, рвота и диарея. Она стала отказываться от еды, а ее поведение изменилось на летаргическое. В ходе обследования у животного были обнаружены повышенные уровни амилазы и липазы в крови, что указывает на воспаление поджелудочной железы. Кошке был поставлен диагноз панкреатит.","Симптомы: боль в животе, рвота, диарея, отказ от еды, летаргическое поведение"
Панкреатит,"Собака, 5 лет, мужского пола, замечена в слабости и потере аппетита. В течение последних двух дней наблюдается рвота желчью после каждого приема пищи. Живот собаки напряжен и болезненный при пальпации, особенно в области желудка. Лапы собаки становятся холодными и влажными, дыхание учащено и поверхностно. Собака отказывается двигаться самостоятельно и просит помощи, чтобы встать и передвигаться.","Симптомы: рвота желчью после каждого приема пищи, напряжение и боль в животе (особенно в области желудка), холодные и влажные лапы, учащенное и поверхностное дыхание, слабость и отказ от самостоятельного движения."
Панкреатит,"У коровы наблюдается снижение аппетита, вялость, тусклая шерсть. Животное лежит на бок, поджимая ноги к животу. Отмечается вздутие живота, рвота пищей или желчью, диарея с сильным неприятным запахом. При пальпации живот чувствителен в области желудка и кишечника, температура тела повышена. Лабораторные исследования показали увеличение активности амилазы в крови и моче.","Симптомы: снижение аппетита, вялость, тусклая шерсть, вздутие живота, рвота пищей или желчью, диарея с сильным неприятным запахом, чувствительность живота при пальпации, повышенная температура тела, увеличение активности амилазы в крови и моче."
Панкреатит,"У кошки в течение дня появилась резкая рвота и диарея, живот твердый на ощупь и болезненный при пальпации, аппетит отсутствует. Животное находится в угнетенном состоянии, температура тела повышена до 40°C. В анамнезе отмечается недавнее потребление испорченной пищи.","Симптомы: рвота, диарея, болезненность живота при пальпации, отсутствие аппетита, угнетенное состояние, гипертермия (температура тела повышена до 40°C)."
